"proj_id","primary_id","eudract_id","nct_id","eligibility_final","lead_institution","crossreg_final","crossreg_manual_extractor","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","publication_type","is_prospective","has_summary_results","summary_results_date","registration_date","start_date","completion_date","completion_year","primary_completion_date","primary_completion_year","recruitment_status","phase","enrollment","is_multicentric","is_multinational","main_sponsor","is_controlled","is_randomised","masking","center_size"
"582","NCT00179777",NA,"NCT00179777","Eligible","University of Helsinki","Irrelevant intervention type",NA,"Yes","10.1001/jama.2017.19826","2.9297078E7","https://doi.org/10.1001/jama.2017.19826","2018-01-02","Linked at the registration","Journal publication","No","Yes","2020-06-22","2005-09-10","2002-05-06","2017-09-30","2017","2017-03-31","2017","Completed","Not Applicable",5156,"Yes",NA,"Industry or mixed","Yes","Yes","No","small"
"1068","NCT00218985",NA,"NCT00218985","Eligible","Norwegian University of Science and Technology","Irrelevant intervention type",NA,"Yes","10.1093/icvts/ivx439","2.9447379E7","https://pubmed.ncbi.nlm.nih.gov/29447379/","2018-07-01","Linked at the registration","Journal publication","No","No",NA,"2005-09-20","2005-01-31","2016-12-31","2016","2016-12-31","2016","Completed","Not Applicable",40,"No",NA,"Only non-industry","Yes","Yes","No","large"
"1016","NCT00278694",NA,"NCT00278694","Eligible","Oslo University Hospital","None found","Cathrine","Yes","10.1016/j.ijrobp.2010.04.036","2.0675069E7","https://doi-org.ezproxy.its.uu.se/10.1016/j.ijrobp.2010.04.036","2010-08-02","Cross-reference","Journal publication","No","No",NA,"2006-01-16","2005-09-30","2016-02-29","2016","2016-02-29","2016","Completed","Phase 2",109,"No",NA,"Only non-industry","No","No","Yes","large"
"1099","NCT00289705",NA,"NCT00289705","Ineligible",NA,"Ignore, ineligible",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2006-02-09","2006-02-28","2018-02-28","2018","2017-11-30","2017","Unknown status","Phase 3",80,"Yes",NA,"Only non-industry","Yes","No","Yes",NA
"1318","NCT00327912",NA,"NCT00327912","Ineligible",NA,"Ignore, ineligible",NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"2006-05-18","2006-04-30","2017-12-31","2017","2017-12-31","2017","Unknown status","Phase 4",60,"Yes",NA,"Only non-industry","Yes","Yes","Yes",NA
"1","2005-000217-35","2005-000217-35","NCT00339118","Ineligible","New ineligible","Ignore, ineligible",NA,"Yes","10.1016/S1470-2045(18)30337-1","2.994128E7","https://doi.org/10.1016/S1470-2045(18)30337-1","2018-06-22","Systematic Google search","Journal publication",NA,"No",NA,"2006-01-31",NA,"2016-12-31","2016",NA,NA,NA,"0",1200,"Yes","Yes","Only non-industry","Yes","Yes","Yes",NA
"1246","NCT00378248",NA,"NCT00378248","Eligible","Oslo University Hospital","Irrelevant intervention type",NA,"Yes","10.1521/pedi.2010.24.2.188","2.0420475E7","https://doi.org/10.1521/pedi.2010.24.2.188","2010-04-01","Linked at the registration","Journal publication","No","No",NA,"2006-09-18","2004-05-31","2016-12-31","2016","2016-12-31","2016","Unknown status","Not Applicable",120,"No",NA,"Only non-industry","Yes","Yes","Yes","large"
"1527","NCT00408096",NA,"NCT00408096","Eligible","Aarhus University","Irrelevant intervention type",NA,"Yes","10.1016/j.jse.2014.05.012","2.5220196E7","https://doi.org/10.1016/j.jse.2014.05.012","2014-10-01","Linked at the registration","Journal publication","Yes","No",NA,"2006-12-05","2006-12-31","2018-01-31","2018","2016-03-31","2016","Completed","Not Applicable",32,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"1530","NCT00412659",NA,"NCT00412659","Eligible","Umeå University","Irrelevant intervention type",NA,"Yes","10.1093/bjsopen/zrac007","35289848","https://doi.org/10.1093/bjsopen/zrac007","2022-03-08","Linked at the registration","Journal publication","No","No",NA,"2006-12-15","2006-03-31","2016-03-31","2016","2016-03-31","2016","Completed","Phase 2/Phase 3",125,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"1535","NCT00426101","2005-003279-18","NCT00426101","Eligible","Karolinska University Hospital","Identified in manual search","Samruddhi","Yes","10.1182/blood-2017-06-788349","2.8935695E7","https://doi.org/10.1182/blood-2017-06-788349","2017-09-21","Linked at the registration","Journal publication","No","No",NA,"2007-01-23","2004-01-31","2017-12-31","2017","2011-12-31","2011","Completed","Phase 3",368,"No",NA,"Only non-industry","No","No","Yes","large"
"1540","NCT00442091",NA,"NCT00442091","Eligible","Odense University Hospital","None found","Natasha","Yes","10.1111/cod.13473",NA,"https://onlinelibrary.wiley.com/doi/10.1111/cod.13473","2020-01-17","Systematic Google search","Journal publication","Yes","No",NA,"2007-02-28","2010-12-31","2019-12-31","2019","2019-12-31","2019","Completed","Not Applicable",4,"No",NA,"Only non-industry","No","No","Yes","large"
"1543","NCT00451893",NA,"NCT00451893","Eligible","Umeå University","Irrelevant intervention type",NA,"Yes","10.1007/s10029-018-1734-z","29353339","https://doi.org/10.1007/s10029-018-1734-z","2018-01-20","Linked at the registration","Journal publication","No","No",NA,"2007-03-23","2006-12-31","2016-11-30","2016","2016-05-31","2016","Unknown status","Phase 2/Phase 3",400,"Yes",NA,"Only non-industry","Yes","Yes","No","large"
"1624","NCT00531687","2007-000618-35","NCT00531687","Eligible","Copenhagen University Hospital","Identified in manual search","Samruddhi","No",NA,NA,NA,NA,NA,NA,"Yes","No",NA,"2007-09-18","2007-09-30","2016-10-31","2016","2012-02-29","2012","Terminated","Phase 2",8,"No",NA,"Only non-industry","No","No","Yes","large"
"1693","NCT00555191",NA,"NCT00555191","Eligible","University Hospital of North Norway","Irrelevant intervention type",NA,"Yes","10.3748/wjg.v21.i18.5677","2.5987795E7","https://www.wjgnet.com/1007-9327/full/v21/i18/5677.htm","2015-05-14","Linked at the registration","Journal publication","No","No",NA,"2007-11-06","2007-09-30","2016-05-31","2016","2016-05-31","2016","Completed","Phase 2/Phase 3",182,"No",NA,"Only non-industry","Yes","Yes","Yes","small"
"1855","NCT00624689",NA,"NCT00624689","Eligible","Umeå University","Irrelevant intervention type",NA,"Yes","10.3945/ajcn.113.064295","2.450015E7","https://doi.org/10.3945/ajcn.113.064295","2014-02-05","Linked at the registration","Journal publication","Yes","No",NA,"2008-02-15","2008-03-31","2018-11-30","2018","2013-03-31","2013","Completed","Not Applicable",240,"No",NA,"Only non-industry","Yes","Yes","No","large"
"2","2006-006130-17","2006-006130-17","NCT00646854","Eligible","Aarhus University Hospital","Automatically identified","Cathrine","Yes","10.1182/blood-2018-99-110429",NA,"https://doi.org/10.1182/blood-2018-99-110429","2018-11-29","Systematic Google search","Conference abstract","Yes","No",NA,"2007-06-06","2008-06-30","2016-12-31","2016","2016-12-31","2016","Any Completed, none Prematurely Ended","3",308,"Yes","Yes","Only non-industry","Yes","Yes","Yes","large"
"1857","NCT00646854","2006-006130-17","NCT00646854","Cross-registration duplicate","Aarhus University Hospital","Automatically identified","Cathrine","Yes","10.1182/blood-2018-99-110429",NA,"https://doi.org/10.1182/blood-2018-99-110429","2018-11-29","Systematic Google search","Journal publication","Yes","No",NA,"2008-02-14","2008-06-30","2016-12-31","2016","2016-12-31","2016","Completed","Phase 3",136,"Yes",NA,"Only non-industry","Yes","Yes","Yes","large"
"1860","NCT00658268",NA,"NCT00658268","Ineligible",NA,"Ignore, ineligible",NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"2008-04-09","2008-03-31","2017-08-01","2017","2017-08-01","2017","Completed","Phase 2",32,"No",NA,"Only non-industry","Yes","Yes","No",NA
