"proj_id","primary_id","eligibility","registry","eudract_id","nct_id","crossregistration_check","short_title","lead_institution","has_results","trial_status_recoded","sponsor_status","phase","were_results_reported","study_first_submitted_date","start_date","completion_date","overall_status","enrollment","agency_classes","intervention_types_combined","max_end_date","long_title","trial_name"
1,"2005-000217-35","Ineligible institution","euctr","2005-000217-35",NA,"Ignore, ineligible","EpSSG RMS 2005 a protocol for non metastatic rhabdomyosarcoma",NA,0,NA,0,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2016-12-31","European Paediatric Soft Tissue Sarcoma Study Group EpSSG RMS 2005. A protocol for non metastatic rhabdomyosarcoma.","RMS 2005"
2,"2006-006130-17","Eligible","euctr","2006-006130-17","NCT00646854","Automatically identified","ACT-1 (younger patients) A randomized phase III study to evaluate the efficacy of chemoimmunotherapy with the monoclonal antibody Campath-1H (Alemtuzumab) given in combination with 2-weekly CHOP versu...","Aarhus University Hospital",0,"Any Completed, none Prematurely Ended",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,"2016-12-31","ACT-1 (younger patients) A randomized phase III study to evaluate the efficacy of chemoimmunotherapy with the monoclonal antibody Campath-1H (Alemtuzumab) given in combination with 2-weekly CHOP versus 2-weekly CHOP alone and consolidated by autologous stem cell transplant, in young patients with previously untreated systemic peripheral T-cell lymphomas","ACT-1 ( Alemtuzumab and CHOP in T- cell lymphoma)"
3,"2007-006033-14","Eligible","euctr","2007-006033-14","NCT00717938","Automatically identified","A randomized phase III study of standard treatment +/- enoxaparin in small cell lung cancer.    Randomiserad fas III studie av standard behandling +/- enoxaparin vid småcellig lungcancer.","Skane University Hospital",1,"Any Completed, none Prematurely Ended",0,"3",NA,NA,NA,NA,NA,NA,NA,NA,"2017-05-05","A randomized phase III study of standard treatment +/- enoxaparin in small cell lung cancer. 
 
 
 Randomiserad fas III studie av standard behandling +/- enoxaparin vid småcellig lungcancer.","RASTEN 
 
 
 RASTEN"
4,"2007-007842-36","Eligible","euctr","2007-007842-36","NCT00760682","Identified in publication","Hyperbaric oxygen treatment of mandibular osteoradionecrosis. A randomized clinical study.","Copenhagen University Hospital",1,"Any Completed, none Prematurely Ended",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2018-12-31","Hyperbaric oxygen treatment of mandibular osteoradionecrosis. A randomized clinical study.","DAHANCA 21 (version 1)"
5,"2008-003235-20","Eligible","euctr","2008-003235-20",NA,"None found","NOPHO - ALL 2008","The National University Hospital of Iceland",0,"Any Prematurely Ended",0,"0",NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-03","NOPHO - ALL 2008. Treatment Protocol for Children (1.0 - 17.9 years of age) with Acute Lymphoblastic Leukemia","NOPHO ALL-2008"
6,"2008-003527-24","Eligible","euctr","2008-003527-24","NCT00979641","Identified in publication","Single arm study of the combination of biweekly Avastin and Docetaxel as the first line treatment for patients with locally recurrrent or metastatic breast cancer","Tampere University Hospital",0,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2016-03-08","Single arm study of the combination of biweekly Avastin and Docetaxel as the first line treatment for patients with locally recurrrent or metastatic breast cancer","Aino"
7,"2008-004584-19","Eligible","euctr","2008-004584-19",NA,"None found","Skolioser hos cerebral parese patienter behandlet med Botulinum toxin A Injektioner.","Hvidovre and Amager Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-06-15","Skolioser hos cerebral parese patienter behandlet med Botulinum toxin A Injektioner.",""
8,"2008-004771-22","Eligible","euctr","2008-004771-22","NCT02744872","Identified in publication","Prospective randomised dubbleblind placebocontrolled trial of calcium antagonist to prevent calcineurin induced nephropathy in lung transplanted patients    Prospektivt randomiseret dobbeltblindt plac...","Copenhagen University Hospital",0,"Any Completed, none Prematurely Ended",0,"4",NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-28","Prospective randomised dubbleblind placebocontrolled trial of calcium antagonist to prevent calcineurin induced nephropathy in lung transplanted patients 
 
 
 Prospektivt randomiseret dobbeltblindt placebo-kontrolleret studie af, calciumkanalblokade påbegyndt inden operation, - med henblik på at forebygge ciclosporin induceret nefropati efter lungetransplantation.","CARCATS"
9,"2008-006802-40","Eligible","euctr","2008-006802-40","NCT02636088","Identified in manual search","A PHASE II STUDY WITH OXALIPLATIN + 5FU + CETUXIMAB AND RADIOTHERAPY  FOR TREATMENT OF NON-RESECTABLE, LOCALLY ADVANCED BUT NOT METASTATIC CANCER OF OESOPHAGUS OR THE CARDIA REGION","Karolinska University Hospital",0,"Any Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-06-15","A PHASE II STUDY WITH OXALIPLATIN + 5FU + CETUXIMAB AND RADIOTHERAPY 
 FOR TREATMENT OF NON-RESECTABLE, LOCALLY ADVANCED BUT NOT METASTATIC CANCER OF OESOPHAGUS OR THE CARDIA REGION","LERFOX-C"
10,"2008-008920-34","Eligible","euctr","2008-008920-34","NCT00887783","Automatically identified","Induction chemotherapy with Carboplatin and Navelbine Oral® followed by concomitant Navelbine Oral® and irradiation in local-regionally advanced non-small cell lung cancer.  A randomized phase II stud...","Odense University Hospital",1,"Any Completed, none Prematurely Ended",0,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2017-07-21","Induction chemotherapy with Carboplatin and Navelbine Oral® followed by concomitant Navelbine Oral® and irradiation in local-regionally advanced non-small cell lung cancer.  A randomized phase II study.",""
