"proj_id","main_id","reviewer_1","reviewer_2","registry","start_date_recoded","completion_date_recoded","has_publication","publication_doi","publication_pmid","publication_url","publication_date","identification_step","publication_type","former_discrepancy","eligibility","extraction_date_latest"
1151,"NCT01482104","Maximilian_S","Till_B","ctgov","2012-06-30","2017-10-31","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1174,"NCT03979768","Maximilian_S","Till_B","ctgov","2016-09-15","2019-05-30","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1499,"NCT02916849","Maximilian_S","Till_B","ctgov","2016-09-30","2017-03-31","Yes","10.1186/s12877-020-01592-x","32539711","https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-020-01592-x",2020-06-15,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
743,"NCT03289247","Maximilian_S","Till_B","ctgov","2015-09-01","2018-12-31","Yes","10.1097/CORR.0000000000000637","30811354","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000100/",2019-09-01,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
1280,"NCT03758768","Maximilian_S","Till_B","ctgov","2018-09-25","2018-10-22","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
520,"NCT02341690","Maximilian_S","Till_B","ctgov","2015-01-31","2017-12-17","Yes","10.2196/30602","36170002","https://mhealth.jmir.org/2022/9/e30602/",2022-09-28,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
1843,"NCT01865942","Maximilian_S","Till_B","ctgov","2014-08-28","2017-03-30","Yes","10.21873/anticanres.114581","32988892","https://doi.org/10.21873/anticanres.114581",2020-10-01,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
497,"NCT02361619","Maximilian_S","Till_B","ctgov","2015-02-28","2017-06-30","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1093,"NCT03830736","Maximilian_S","Till_B","ctgov","2019-02-18","2019-12-30","Yes","10.3390/nu13030988","33803802","https://doi.org/10.3390/nu13030988",2021-03-18,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
2370,"NCT02583854","Maximilian_S","Till_B","ctgov","2015-09-30","2017-11-01","Yes","10.1093/eurjcn/zvab004","33615328","https://doi.org/10.1093/eurjcn/zvab004",2021-08-20,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
2080,"NCT03558698","Maximilian_S","Till_B","ctgov","2018-01-23","2018-06-22","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1538,"NCT02708979","Maximilian_S","Till_B","ctgov","2016-02-29","2016-08-31","Yes","10.1080/10253890.2018.1494149","30388041","https://www.tandfonline.com/doi/full/10.1080/10253890.2018.1494149",2018-11-01,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
2101,"NCT02216149","Luca_H","Eero_R","ctgov","2015-01-31","2018-08-31","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2022-12-26
1336,"NCT01604369","Luca_H","Eero_R","ctgov","2012-06-30","2016-06-30","Yes","10.1080/00015385.2020.1721717","32208915","https://www.tandfonline.com/doi/full/10.1080/00015385.2020.1721717?scroll=top&needAccess=true&role=tab",2020-03-25,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2022-12-26
738,"NCT03290053","Luca_H","Eero_R","ctgov","2017-11-28","2018-04-18","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2022-12-28
1522,"NCT03946956","Maximilian_S","Till_B","ctgov","2017-08-01","2019-03-31","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
2185,"NCT02068573","Maximilian_S","Till_B","ctgov","2012-08-31","2016-02-29","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1038,"NCT01313026","Maximilian_S","Till_B","ctgov","2011-01-31","2018-09-30","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-04
1096,"NCT03828981","Maximilian_S","Till_B","ctgov","2016-05-31","2018-05-30","Yes","10.1002/ijgo.13382","32961589","https://obgyn.onlinelibrary.wiley.com/doi/10.1002/ijgo.13382",2020-10-19,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
390,"NCT02482792","Maximilian_S","Till_B","ctgov","2013-08-31","2017-10-26","Yes","10.1002/pri.1891","33320397","https://onlinelibrary.wiley.com/doi/10.1002/pri.1891",2020-12-15,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
2279,"NCT02625103","Maximilian_S","Till_B","ctgov","2015-09-30","2016-02-29","Yes","10.1111/acps.12673","27922183","https://doi.org/10.1111/acps.12673",2016-12-06,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-04
1695,"NCT02808611","Maximilian_S","Till_B","ctgov","2016-07-31","2017-01-31","Yes","10.1515/sjpain-2018-0054","29858911","https://doi.org/10.1515/sjpain-2018-0054",2018-07-26,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-05
1740,"NCT02774655","Maximilian_S","Till_B","ctgov","2016-05-31","2017-09-30","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-05
483,"NCT02380469","Maximilian_S","Till_B","ctgov","2015-04-30","2016-08-31","Yes","10.1007/s00520-019-04900-3","31177391","https://link.springer.com/article/10.1007/s00520-019-04900-3",2019-06-08,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-05
1785,"NCT02746497","Luca_H","Eero_R","ctgov","2016-10-31","2017-07-31","Yes","10.1136/bmjopen-2018-023637","30782712","https://pubmed.ncbi.nlm.nih.gov/30782712/",2019-02-19,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2022-12-30
1285,"NCT03065842","Luca_H","Eero_R","ctgov","2017-02-05","2018-03-05","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-05
2320,"NCT02126202","Luca_H","Eero_R","ctgov","2009-08-31","2016-01-31","Yes","10.1080/14017431.2020.1781243","32586153","https://pubmed.ncbi.nlm.nih.gov/32586153/",2020-06-26,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-06
957,"NCT03181581","Luca_H","Eero_R","ctgov","2017-03-01","2018-12-31","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-06
1772,"NCT02757599","Luca_H","Eero_R","ctgov","2016-08-31","2017-06-30","Yes","10.1111/aogs.13444","30132792","https://obgyn.onlinelibrary.wiley.com/doi/full/10.1111/aogs.13444",2018-09-18,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-06
1199,"NCT04300972","Luca_H","Eero_R","ctgov","2016-06-15","2016-10-15","No",NA,NA,NA,NA,NA,NA,"No publication, agreed by 2 reviewers","Eligible",2023-01-06
1075,"NCT03846661","Luca_H","Eero_R","ctgov","2010-01-01","2019-02-01","Yes","10.1002/bjs.11562","32239495","https://academic.oup.com/bjs/article/107/9/1130/6120691",2020-04-01,"Systematic Google search","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-07
1155,"NCT01512615","Luca_H","Eero_R","ctgov","2011-12-31","2018-10-15","Yes","10.1093/eurjcn/zvab047","34089600","https://pubmed.ncbi.nlm.nih.gov/34089600/",2022-04-09,"Linked at the registration","Journal publication","Consensus on earliest publication, full match","Eligible",2023-01-07
