institution,median,iqr
Aalborg University,544.0000000000001,644.0000000000001
Aalborg University Hospital,652.0000000000001,712.0000000000001
Aarhus University,565,821
Aarhus University Hospital,582,884.0000000000001
Akershus University Hospital,820,1374
Bispebjerg and Frederiksberg Hospital,623.9999999999999,769
Copenhagen University Hospital,722,1052.5000000000002
Danderyd Hospital,863,776.0000000000001
Gothenburg University,677.9999999999999,486.9999999999999
Haukeland university hospital,1799,NA
Helsinki University Hospital,636,602
Herlev and Gentofte Hospital,739.0000000000001,1475.9999999999998
Holbæk Hospital,565,707
Hvidovre and Amager Hospital,556,847.9999999999999
Karolinska Institutet,729.9999999999999,1115.9999999999998
Karolinska University Hospital,471,2187
Kuopio University Hospital,251.00000000000003,1449
Linkoeping University,716,704.9999999999999
Linkoeping University Hospital,871.0000000000001,737.9999999999999
Lund University,759,NA
Mental health services in the Capital Region of Denmark,287,172.50000000000006
Næstved Hospital,607,275.0000000000001
Nordsjællands Hospital,824,619.0000000000001
Norwegian University of Science and Technology,892,1456.5
Odense University Hospital,571.0000000000001,887
Örebro University,981,917
Örebro University Hospital,182,0
Oslo University Hospital,740,1057
Oulu University Hospital,1213,NA
Sahlgrenska University Hospital,867,1201
Skane University Hospital,523,1118.9999999999998
St. Olav’s University Hospital,1331.0000000000002,NA
Steno Diabetes Center Copenhagen,560,408.00000000000006
Stockholm South General Hospital,216,1052
Tampere University Hospital,381.99999999999994,734.0000000000001
The National University Hospital of Iceland,992,765.9999999999999
Turku University Hospital,913,NA
UiT The Arctic University of Norway,655.4999999999999,NA
Umeå University,909.9999999999999,NA
University Hospital of North Norway,973,NA
University Hospital of Umeå,427,609.9999999999999
University of Bergen,689,NA
University of Copenhagen,819,1220.0000000000002
University of Eastern Finland,1278,1292.0000000000002
University of Helsinki,723,1163
University of Iceland,1305.9999999999998,828.9999999999998
University of Oslo,670,566
University of Oulu,1191,1832
University of Southern Denmark,577.4999999999999,510.99999999999994
University of Tampere,276,701.9999999999999
University of Turku,759,1194.5
Uppsala Academic Hospital,948.9999999999999,594.9999999999999
Uppsala University,971,NA
Zealand University Hospital,594,529.4999999999999
Denmark,617,885.0000000000001
Finland,702.5,1504.9999999999998
Iceland,1149,849.9999999999999
Norway,827,NA
Sweden,735.9999999999999,1217.0000000000005
Total,690,1103
