institution,trials,summary_within_12m_after_CD,percentage,conf_int_ll,conf_int_ul
Aalborg University,31,0,0,0,11
Aalborg University Hospital,35,2,5.7,1,18.6
Aarhus University,186,3,1.6,0.6,4.6
Aarhus University Hospital,64,3,4.7,1.6,12.9
Akershus University Hospital,11,0,0,0,25.900000000000002
Bispebjerg and Frederiksberg Hospital,77,2,2.6,0.5,9
Copenhagen University Hospital,172,2,1.2,0.2,4.1000000000000005
Danderyd Hospital,7,0,0,0,35.4
Gothenburg University,24,1,4.2,0.2,20.200000000000003
Haukeland university hospital,30,0,0,0,11.4
Helsinki University Hospital,47,2,4.3,0.8,14.2
Herlev and Gentofte Hospital,111,4,3.6,1.4000000000000001,8.9
Holbæk Hospital,3,0,0,0,56.10000000000001
Hvidovre and Amager Hospital,51,1,2,0.1,10.299999999999999
Karolinska Institutet,166,0,0,0,2.3
Karolinska University Hospital,47,2,4.3,0.8,14.2
Kuopio University Hospital,17,1,5.9,0.3,27
Linkoeping University,39,3,7.7,2.7,20.3
Linkoeping University Hospital,18,1,5.6,0.3,25.8
Lund University,36,4,11.1,4.3999999999999995,25.3
Mental health services in the Capital Region of Denmark,3,0,0,0,56.10000000000001
Næstved Hospital,5,0,0,0,43.4
Nordsjællands Hospital,10,1,10,0.5,40.400000000000006
Norwegian University of Science and Technology,76,0,0,0,4.8
Odense University Hospital,91,5,5.5,2.4,12.2
Oslo University Hospital,102,1,1,0.1,5.3
Oulu University Hospital,10,0,0,0,27.800000000000004
Sahlgrenska University Hospital,40,0,0,0,8.799999999999999
Skane University Hospital,23,0,0,0,14.299999999999999
St. Olav’s University Hospital,24,0,0,0,13.8
Steno Diabetes Center Copenhagen,13,0,0,0,22.8
Stockholm South General Hospital,3,0,0,0,56.10000000000001
Tampere University Hospital,22,0,0,0,14.899999999999999
The National University Hospital of Iceland,5,0,0,0,43.4
Turku University Hospital,48,0,0,0,7.3999999999999995
UiT The Arctic University of Norway,14,0,0,0,21.5
Umeå University,41,0,0,0,8.6
University Hospital of North Norway,17,0,0,0,18.4
University Hospital of Umeå,2,1,50,2.6,97.39999999999999
University of Bergen,31,0,0,0,11
University of Copenhagen,97,0,0,0,3.8
University of Eastern Finland,12,0,0,0,24.2
University of Helsinki,21,0,0,0,15.5
University of Iceland,5,0,0,0,43.4
University of Oslo,23,0,0,0,14.299999999999999
University of Oulu,25,1,4,0.2,19.5
University of Southern Denmark,42,0,0,0,8.4
University of Tampere,9,1,11.1,0.6,43.5
University of Turku,20,0,0,0,16.1
Uppsala Academic Hospital,9,0,0,0,29.9
Uppsala University,51,1,2,0.1,10.299999999999999
Zealand University Hospital,28,0,0,0,12.1
Örebro University,17,0,0,0,18.4
Örebro University Hospital,1,0,0,0,94.89999999999999
