"form_id","extraction_time","reviewer","trial_id","publication_found","publication_url","publication_doi","identification_step","publication_type","publication_pmid","typo_primary_id","publication_date","match_design","match_indication_population","match_intervention","match_comparator","match_any_outcome","n_matching_criteria","registry","start_date_recoded","completion_date_recoded","warning_cd_to_publication","warning_start_to_publication","n_match_agree","article_found_by","article_agreement_information"
"F1",2022-12-05 11:22:25,"Maximilian_S","NCT01482104","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-06-30","2017-10-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F2",2022-12-05 11:43:31,"Maximilian_S","NCT04210193","Yes","https://doi.org/10.1016/j.jaci.2019.11.017","10.1016/j.jaci.2019.11.017","Linked at the registration","Journal publication",31775016,"NCT ID",2019-11-24,"Yes","Yes","Yes","Yes","No",4,"ctgov","2014-04-25","2019-12-01","Publication date before completion date",NA,"4","Maximilian_S","Found by 1/2 reviewers, near-match"
"F3",2022-12-05 11:59:08,"Maximilian_S","NCT01881906","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-02-29","2017-04-12",NA,NA,"NA",NA,"No publication, not agreed by other reviewer"
"F4",2022-12-05 12:09:36,"Maximilian_S","NCT04210193","Yes","https://aacijournal.biomedcentral.com/articles/10.1186/s13223-020-00427-z","10.1186/s13223-020-00427-z","Systematic Google search","Journal publication",32368217,"NCT ID",2020-04-28,"Yes","Yes","Yes","Yes","No",4,"ctgov","2014-04-25","2019-12-01",NA,NA,"4; 5","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match"
"F5",2022-12-05 14:05:05,"Maximilian_S","NCT03979768","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-09-15","2019-05-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F6",2022-12-05 14:49:39,"Maximilian_S","NCT02944786","Yes","https://doi.org/10.3390/children6090095","10.3390/children6090095","Systematic Google search","Journal publication",31450645,"NCT ID",2019-08-25,"No","Yes","Yes","No","No",2,"ctgov","2016-09-30","2019-08-31","Publication date before completion date",NA,"2","Maximilian_S","Found by 1/2 reviewers, ineligible match"
"F7",2022-12-05 15:05:07,"Maximilian_S","NCT02916849","Yes","https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-020-01592-x","10.1186/s12877-020-01592-x","Linked at the registration","Journal publication",32539711,"NCT ID",2020-06-15,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-09-30","2017-03-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F8",2022-12-05 15:32:56,"Maximilian_S","NCT03289247","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000100/","10.1097/CORR.0000000000000637","Systematic Google search","Journal publication",30811354,"NCT ID",2019-09-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-09-01","2018-12-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F9",2022-12-05 15:45:34,"Maximilian_S","NCT03758768","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-09-25","2018-10-22",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F10",2022-12-05 16:00:12,"Maximilian_S","NCT02121678","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2014-04-30","2016-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer"
"F11",2022-12-05 16:34:40,"Maximilian_S","NCT02172937","Yes","https://pubmed.ncbi.nlm.nih.gov/23307526/","10.1002/stem.1314","Linked at the registration","Journal publication",23307526,"NCT ID",2013-03-01,"Yes","Yes","No","No","No",2,"ctgov","2011-01-31","2016-12-31","Publication date before completion date",NA,"2","Maximilian_S","Found by 1/2 reviewers, ineligible match"
"F12",2022-12-05 16:48:53,"Maximilian_S","NCT02832726","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267412/","10.1007/s00394-017-1553-5","Linked at the registration","Journal publication",29038891,"NCT ID",2017-10-16,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-01-31","2016-06-30",NA,NA,"5; 4","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match"
"F13",2022-12-05 16:57:21,"Maximilian_S","NCT02341690","Yes","https://mhealth.jmir.org/2022/9/e30602/","10.2196/30602","Linked at the registration","Journal publication",36170002,"NCT ID",2022-09-28,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-01-31","2017-12-17",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F14",2022-12-05 17:05:20,"Maximilian_S","NCT01865942","Yes","https://doi.org/10.21873/anticanres.114581","10.21873/anticanres.114581","Systematic Google search","Journal publication",32988892,"NCT ID",2020-10-01,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2014-08-28","2017-03-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F15",2022-12-06 05:30:17,"Eero_R","2015-004173-32","Yes","https://doi.org/10.1080/03009742.2022.2121081","10.1080/03009742.2022.2121081","Systematic Google search","Journal publication",36315419,"EudraCT ID",2022-10-31,"Yes","Yes","Yes","Yes","No",4,"euctr",NA,"2018-12-17",NA,NA,"4; 5","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match"
"F16",2022-12-06 05:43:10,"Eero_R","NCT03022058","Yes","https://doi.org/10.21203/rs.3.rs-122971/v1","10.21203/rs.3.rs-122971/v1","Systematic Google search","Preprint",NA,"NCT ID",2020-12-10,"Yes","Yes","Yes","Yes","No",4,"ctgov","2017-06-22","2017-11-16",NA,NA,"4","Eero_R","Found by 1/2 reviewers, near-match"
"F17",2022-12-06 13:46:19,"Maximilian_S","NCT02333591","Yes","https://doi.org/10.1016/j.ijcha.2019.01.004","10.1016/j.ijcha.2019.01.004","Systematic Google search","Journal publication",30740510,"NCT ID",2019-01-29,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2016-07-31","2018-06-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F18",2022-12-06 14:19:45,"Maximilian_S","2018-000089-12","Yes","https://onlinelibrary.wiley.com/doi/10.1111/aas.13498","10.1111/aas.13498","Systematic Google search","Journal publication",31650529,"EudraCT ID",2019-11-13,"Yes","Yes","Yes","Yes","No",4,"euctr","2018-04-09","2018-06-10",NA,NA,"4; 5","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match"
"F19",2022-12-06 18:30:36,"Maximilian_S","NCT02361619","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2015-02-28","2017-06-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
"F20",2022-12-06 18:44:02,"Maximilian_S","NCT03830736","Yes","https://doi.org/10.3390/nu13030988","10.3390/nu13030988","Systematic Google search","Journal publication",33803802,"NCT ID",2021-03-18,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2019-02-18","2019-12-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F21",2022-12-06 18:47:57,"Maximilian_S","NCT02583854","Yes","https://doi.org/10.1093/eurjcn/zvab004","10.1093/eurjcn/zvab004","Linked at the registration","Journal publication",33615328,"NCT ID",2021-08-20,"Yes","Yes","Yes","Yes","Yes",5,"ctgov","2015-09-30","2017-11-01",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria"
"F22",2022-12-06 19:02:47,"Maximilian_S","NCT02180685","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2009-01-31","2019-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer"
"F23",2022-12-06 19:08:56,"Maximilian_S","NCT03558698","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-01-23","2018-06-22",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers"
