"form_id","extraction_time","reviewer","trial_id","publication_found","publication_url","publication_doi","identification_step","publication_type","publication_pmid","typo_primary_id","publication_date","match_design","match_indication_population","match_intervention","match_comparator","match_any_outcome","n_matching_criteria","registry","start_date_recoded","completion_date_recoded","warning_cd_to_publication","warning_start_to_publication","n_match_agree","article_found_by","article_agreement_information","proj_id","eligibility","crossregistration_check","nct_id","eudract_id","main_id","reviewer_1","reviewer_2","has_publication","former_discrepancy","extraction_date_latest"
"F1",2022-12-05,"Maximilian_S","NCT01482104","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-06-30","2017-10-31",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1151,"Eligible","None found","NCT01482104",NA,NA,NA,NA,NA,NA,NA
"F3",2022-12-05,"Maximilian_S","NCT01881906","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2012-02-29","2017-04-12",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",1863,"Eligible","Irrelevant intervention type","NCT01881906",NA,NA,NA,NA,NA,NA,NA
"F4",2022-12-05,"Maximilian_S","NCT04210193","Yes","https://aacijournal.biomedcentral.com/articles/10.1186/s13223-020-00427-z","10.1186/s13223-020-00427-z","Systematic Google search","Journal publication","32368217","NCT ID",2020-04-28,"Yes","Yes","Yes","Yes","No","4","ctgov","2014-04-25","2019-12-01",NA,NA,"4; 5","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match",1225,"Eligible","None found","NCT04210193",NA,NA,NA,NA,NA,NA,NA
"F5",2022-12-05,"Maximilian_S","NCT03979768","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2016-09-15","2019-05-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1174,"Eligible","Irrelevant intervention type","NCT03979768",NA,NA,NA,NA,NA,NA,NA
"F7",2022-12-05,"Maximilian_S","NCT02916849","Yes","https://bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-020-01592-x","10.1186/s12877-020-01592-x","Linked at the registration","Journal publication","32539711","NCT ID",2020-06-15,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-09-30","2017-03-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1499,"Eligible","Irrelevant intervention type","NCT02916849",NA,NA,NA,NA,NA,NA,NA
"F8",2022-12-05,"Maximilian_S","NCT03289247","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000100/","10.1097/CORR.0000000000000637","Systematic Google search","Journal publication","30811354","NCT ID",2019-09-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-09-01","2018-12-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",743,"Eligible","Irrelevant intervention type","NCT03289247",NA,NA,NA,NA,NA,NA,NA
"F9",2022-12-05,"Maximilian_S","NCT03758768","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-09-25","2018-10-22",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",1280,"Eligible","Irrelevant intervention type","NCT03758768",NA,NA,NA,NA,NA,NA,NA
"F10",2022-12-05,"Maximilian_S","NCT02121678","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2014-04-30","2016-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",2311,"Eligible","Irrelevant intervention type","NCT02121678",NA,NA,NA,NA,NA,NA,NA
"F12",2022-12-05,"Maximilian_S","NCT02832726","Yes","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6267412/","10.1007/s00394-017-1553-5","Linked at the registration","Journal publication","29038891","NCT ID",2017-10-16,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-01-31","2016-06-30",NA,NA,"5; 4","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match",1665,"Eligible","Irrelevant intervention type","NCT02832726",NA,NA,NA,NA,NA,NA,NA
"F13",2022-12-05,"Maximilian_S","NCT02341690","Yes","https://mhealth.jmir.org/2022/9/e30602/","10.2196/30602","Linked at the registration","Journal publication","36170002","NCT ID",2022-09-28,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-01-31","2017-12-17",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",520,"Eligible","Irrelevant intervention type","NCT02341690",NA,NA,NA,NA,NA,NA,NA
"F14",2022-12-05,"Maximilian_S","NCT01865942","Yes","https://doi.org/10.21873/anticanres.114581","10.21873/anticanres.114581","Systematic Google search","Journal publication","32988892","NCT ID",2020-10-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-08-28","2017-03-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1843,"Eligible","Irrelevant intervention type","NCT01865942",NA,NA,NA,NA,NA,NA,NA
"F15",2022-12-06,"Eero_R","2015-004173-32","Yes","https://doi.org/10.1080/03009742.2022.2121081","10.1080/03009742.2022.2121081","Systematic Google search","Journal publication","36315419","EudraCT ID",2022-10-31,"Yes","Yes","Yes","Yes","No","4","euctr",NA,"2018-12-17",NA,NA,"4; 5","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",201,"Eligible","None found",NA,"2015-004173-32",NA,NA,NA,NA,NA,NA
"F17",2022-12-06,"Maximilian_S","NCT02333591","Yes","https://doi.org/10.1016/j.ijcha.2019.01.004","10.1016/j.ijcha.2019.01.004","Systematic Google search","Journal publication","30740510","NCT ID",2019-01-29,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-07-31","2018-06-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",531,"Cross-registration duplicate","Automatically identified","NCT02333591","2013-001240-64",NA,NA,NA,NA,NA,NA
"F18",2022-12-06,"Maximilian_S","2018-000089-12","Yes","https://onlinelibrary.wiley.com/doi/10.1111/aas.13498","10.1111/aas.13498","Systematic Google search","Journal publication","31650529","EudraCT ID",2019-11-13,"Yes","Yes","Yes","Yes","No","4","euctr","2018-04-09","2018-06-10",NA,NA,"4; 5","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match",284,"Eligible","None found",NA,"2018-000089-12",NA,NA,NA,NA,NA,NA
"F19",2022-12-06,"Maximilian_S","NCT02361619","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2015-02-28","2017-06-30",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",497,"Eligible","None found","NCT02361619",NA,NA,NA,NA,NA,NA,NA
"F20",2022-12-06,"Maximilian_S","NCT03830736","Yes","https://doi.org/10.3390/nu13030988","10.3390/nu13030988","Systematic Google search","Journal publication","33803802","NCT ID",2021-03-18,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2019-02-18","2019-12-30",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1093,"Eligible","None found","NCT03830736",NA,NA,NA,NA,NA,NA,NA
"F21",2022-12-06,"Maximilian_S","NCT02583854","Yes","https://doi.org/10.1093/eurjcn/zvab004","10.1093/eurjcn/zvab004","Linked at the registration","Journal publication","33615328","NCT ID",2021-08-20,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2015-09-30","2017-11-01",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",2370,"Eligible","Irrelevant intervention type","NCT02583854",NA,NA,NA,NA,NA,NA,NA
"F22",2022-12-06,"Maximilian_S","NCT02180685","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2009-01-31","2019-01-31",NA,NA,"NA",NA,"No publication, not agreed by other reviewer",388,"Eligible","Irrelevant intervention type","NCT02180685",NA,NA,NA,NA,NA,NA,NA
"F23",2022-12-06,"Maximilian_S","NCT03558698","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-01-23","2018-06-22",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",2080,"Eligible","Irrelevant intervention type","NCT03558698",NA,NA,NA,NA,NA,NA,NA
"F24",2022-12-06,"Maximilian_S","NCT01625026","Yes","https://doi.org/10.1016/j.jhep.2019.06.011","10.1016/j.jhep.2019.06.011","Linked at the registration","Journal publication","31254596","NCT ID",2019-06-27,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2013-09-30","2016-04-30",NA,NA,"5; 0","Maximilian_S; Till_B","Found by 2/2 reviewers, near-match vs. full match",1386,"Eligible","Identified in manual search","NCT01625026","2011-000813-37",NA,NA,NA,NA,NA,NA
"F25",2022-12-06,"Maximilian_S","NCT02708979","Yes","https://www.tandfonline.com/doi/full/10.1080/10253890.2018.1494149","10.1080/10253890.2018.1494149","Systematic Google search","Journal publication","30388041","NCT ID",2018-11-01,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-02-29","2016-08-31",NA,NA,"5","Maximilian_S; Till_B","Found by 2/2 reviewers, matching all 5 criteria",1538,"Eligible","Irrelevant intervention type","NCT02708979",NA,NA,NA,NA,NA,NA,NA
"F26",2022-12-06,"Eero_R","NCT01956136","Yes","https://doi.org/10.3390/jcm11082184","10.3390/jcm11082184","Linked at the registration","Journal publication","35456277","NCT ID",2022-04-14,"Yes","Yes","Yes","Yes","No","4","ctgov","2014-03-31","2018-12-31",NA,NA,"4; 5","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",1939,"Eligible","Irrelevant intervention type","NCT01956136",NA,NA,NA,NA,NA,NA,NA
"F27",2022-12-06,"Eero_R","NCT01956136","Yes","https://doi.org/10.1155/2021/6682471","10.1155/2021/6682471","Systematic Google search","Journal publication","33763126","NCT ID",2021-03-08,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-31","2018-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",1939,"Eligible","Irrelevant intervention type","NCT01956136",NA,NA,NA,NA,NA,NA,NA
"F28",2022-12-07,"Eero_R","NCT01956136","Yes","https://doi.org/10.1089/neu.2019.6413","10.1089/neu.2019.6413","Systematic Google search","Journal publication","31642408","NCT ID",2019-12-05,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2014-03-31","2018-12-31",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",1939,"Eligible","Irrelevant intervention type","NCT01956136",NA,NA,NA,NA,NA,NA,NA
"F29",2022-12-07,"Eero_R","NCT03439787","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2018-05-15","2018-08-23",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",605,"Cross-registration duplicate","Automatically identified","NCT03439787","2017-005180-40",NA,NA,NA,NA,NA,NA
"F30",2022-12-07,"Eero_R","NCT01021774","Yes","https://doi.org/10.1002/bjs.10549","10.1002/bjs.10549","Linked at the registration","Journal publication","28489253","NCT ID",2017-05-10,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2009-11-30","2016-06-30",NA,NA,"5; 4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. full match",933,"Eligible","Irrelevant intervention type","NCT01021774",NA,NA,NA,NA,NA,NA,NA
"F33",2022-12-07,"Eero_R","NCT01604369","Yes","https://doi.org/10.1080/00015385.2020.1721717","10.1080/00015385.2020.1721717","Systematic Google search","Journal publication","32208915","NCT ID",2020-03-25,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2012-06-30","2016-06-30",NA,NA,"5","Eero_R; Luca_H","Found by 2/2 reviewers, matching all 5 criteria",1336,"Eligible","Irrelevant intervention type","NCT01604369",NA,NA,NA,NA,NA,NA,NA
"F34",2022-12-07,"Eero_R","NCT03290053","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-11-28","2018-04-18",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",738,"Eligible","None found","NCT03290053",NA,NA,NA,NA,NA,NA,NA
"F35",2022-12-07,"Eero_R","NCT01727245","Yes","https://doi.org/10.1093/ajh/hpx201","10.1093/ajh/hpx201","Linked at the registration","Journal publication","29177471","NCT ID",2018-03-10,"Yes","Yes","Yes","No","Yes","4","ctgov","2011-11-30","2019-12-31","Publication date before completion date",NA,"4","Eero_R; Luca_H","Found by 2/2 reviewers, near-match vs. ineligible match",1582,"Eligible","Irrelevant intervention type","NCT01727245",NA,NA,NA,NA,NA,NA,NA
"F36",2022-12-07,"Eero_R","NCT02838589","Yes","https://doi.org/10.3389/fnagi.2022.899389","10.3389/fnagi.2022.899389","Systematic Google search","Journal publication",NA,"NCT ID",2022-07-25,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2016-08-31","2017-02-28",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",1661,"Cross-registration duplicate","Automatically identified","NCT02838589","2016-001221-14",NA,NA,NA,NA,NA,NA
"F37",2022-12-07,"Eero_R","NCT03290053","No, neither linked in the registry (search step 1) nor through the systematic Google searches (search steps 2-3)",NA,NA,NA,NA,NA,"NCT ID",NA,NA,NA,NA,NA,NA,NA,"ctgov","2017-11-28","2018-04-18",NA,NA,"NA",NA,"No publication, agreed by 2 reviewers",738,"Eligible","None found","NCT03290053",NA,NA,NA,NA,NA,NA,NA
"F38",2022-12-07,"Eero_R","NCT01785264","Yes","https://doi.org/10.1056/nejmoa2108447","10.1056/nejmoa2108447","Linked at the registration","Journal publication","35417636","NCT ID",2022-04-14,"Yes","Yes","Yes","Yes","Yes","5","ctgov","2013-02-28","2019-05-31",NA,NA,"5","Eero_R","Found by 1/2 reviewers, matching all 5 criteria",1713,"Eligible","Irrelevant intervention type","NCT01785264",NA,NA,NA,NA,NA,NA,NA
